"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST с URL, который сервер не может скачать - операция failed при polling.","618","test_upload_from_url_async_failure","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"","850","test_get_info_about_disk[headers0-200]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_general","",""
"POST без токена - 401.","157","test_upload_from_url_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"Удаление существующего файла - 204 No Content.","792","test_delete_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"Публикация файла - 200 + Link на публичный ресурс.","1231","test_publish_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
"POST в несуществующую папку - 409 (семантически должно быть 404, но сервис отдает 409).","461","test_upload_from_url_parent_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"Без токена - 401.","155","test_get_meta_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_info","",""
"Метаинформация о существующем файле - 200 + Resource.","315","test_get_meta_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_info","",""
"Ответ содержит имя, соответствующее запрошенному пути.","406","test_get_meta_returns_correct_name","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"","157","test_get_info_about_disk[headers1-401]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_general","",""
"Опубликованный файл доступен по прямой ссылке скачивания.","380","test_published_resource_has_download_link","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"Несуществующий путь - 404.","490","test_get_meta_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_info","",""
"Публикация несуществующего файла - 404.","451","test_publish_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"POST с невалидным URL - 400.","535","test_upload_from_url_invalid_url[]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Полный цикл: POST - polling - GET meta. Файл скопирован по URL.","3717","test_upload_from_url_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"POST без токена - 401.","155","test_upload_from_url_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Метаинформация о существующем файле - 200 + Resource.","352","test_get_meta_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Без токена - 401.","156","test_get_meta_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Ответ содержит имя, соответствующее запрошенному пути.","358","test_get_meta_returns_correct_name","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_info","",""
"","163","test_get_info_about_disk[headers1-401]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_info","",""
"Публикация несуществующего файла - 404.","458","test_publish_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
"POST с невалидным URL - 400.","309","test_upload_from_url_invalid_url[http://]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"POST с URL, который сервер не может скачать - операция failed при polling.","789","test_upload_from_url_async_failure","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Без токена - 401.","156","test_delete_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_info","",""
"Полный цикл: POST - polling - GET meta. Файл скопирован по URL.","3505","test_upload_from_url_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"POST в несуществующую папку - 409 (семантически должно быть 404, но сервис отдает 409).","415","test_upload_from_url_parent_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"После удаления get_meta - 404 (побочный эффект проверен).","1609","test_delete_removes_resource","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"Без токена - 401.","161","test_publish_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
"Без токена - 401.","156","test_delete_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"Удаление существующего файла - 204 No Content.","1199","test_delete_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_info","",""
"Снятие с публикации - 200.","620","test_unpublish_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"Снятие с публикации - 200.","611","test_unpublish_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
"Raw-метод: POST возвращает 202 и Link с href для polling.","2837","test_upload_from_url_returns_202_with_link","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"POST с невалидным URL - 400.","288","test_upload_from_url_invalid_url[]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"Несуществующий путь - 404.","542","test_get_meta_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Удаление несуществующего файла - 404.","389","test_delete_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_info","",""
"POST с невалидным URL - 400.","1240","test_upload_from_url_invalid_url[not-a-url]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"Без токена - 401.","150","test_publish_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"Удаление несуществующего файла - 404.","403","test_delete_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"После удаления get_meta - 404 (побочный эффект проверен).","1934","test_delete_removes_resource","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_info","",""
"","250","test_get_info_about_disk[headers0-200]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_info","",""
"Опубликованный файл доступен по прямой ссылке скачивания.","410","test_published_resource_has_download_link","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
