"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Без токена - 401.","163","test_delete_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"Без токена - 401.","156","test_publish_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
"Удаление существующего файла - 204 No Content.","1303","test_delete_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_info","",""
"","154","test_get_info_about_disk[headers1-401]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_general","",""
"POST в несуществующую папку - 409 (семантически должно быть 404, но сервис отдает 409).","384","test_upload_from_url_parent_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Без токена - 401.","162","test_get_meta_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Без токена - 401.","155","test_publish_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"Ответ содержит имя, соответствующее запрошенному пути.","395","test_get_meta_returns_correct_name","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Снятие с публикации - 200.","514","test_unpublish_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"Несуществующий путь - 404.","546","test_get_meta_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Несуществующий путь - 404.","308","test_get_meta_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_info","",""
"POST с URL, который сервер не может скачать - операция failed при polling.","728","test_upload_from_url_async_failure","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"После удаления get_meta - 404 (побочный эффект проверен).","1946","test_delete_removes_resource","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_info","",""
"POST с URL, который сервер не может скачать - операция failed при polling.","679","test_upload_from_url_async_failure","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"Публикация несуществующего файла - 404.","392","test_publish_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
"После удаления get_meta - 404 (побочный эффект проверен).","1132","test_delete_removes_resource","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"POST с невалидным URL - 400.","431","test_upload_from_url_invalid_url[http://]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"POST в несуществующую папку - 409 (семантически должно быть 404, но сервис отдает 409).","305","test_upload_from_url_parent_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"Полный цикл: POST - polling - GET meta. Файл скопирован по URL.","3890","test_upload_from_url_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"POST без токена - 401.","163","test_upload_from_url_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Метаинформация о существующем файле - 200 + Resource.","358","test_get_meta_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Полный цикл: POST - polling - GET meta. Файл скопирован по URL.","3040","test_upload_from_url_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"POST с невалидным URL - 400.","285","test_upload_from_url_invalid_url[not-a-url]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Без токена - 401.","153","test_delete_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_info","",""
"","220","test_get_info_about_disk[headers0-200]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_info","",""
"POST с невалидным URL - 400.","314","test_upload_from_url_invalid_url[not-a-url]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"","955","test_get_info_about_disk[headers0-200]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_general","",""
"Raw-метод: POST возвращает 202 и Link с href для polling.","3368","test_upload_from_url_returns_202_with_link","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Опубликованный файл доступен по прямой ссылке скачивания.","337","test_published_resource_has_download_link","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"Удаление существующего файла - 204 No Content.","788","test_delete_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"Публикация файла - 200 + Link на публичный ресурс.","926","test_publish_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
"Ответ содержит имя, соответствующее запрошенному пути.","346","test_get_meta_returns_correct_name","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_info","",""
"Метаинформация о существующем файле - 200 + Resource.","373","test_get_meta_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_info","",""
"POST с невалидным URL - 400.","260","test_upload_from_url_invalid_url[]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Без токена - 401.","163","test_get_meta_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_info","",""
"Опубликованный файл доступен по прямой ссылке скачивания.","446","test_published_resource_has_download_link","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
"Публикация несуществующего файла - 404.","366","test_publish_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"POST с невалидным URL - 400.","306","test_upload_from_url_invalid_url[http://]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"POST с невалидным URL - 400.","285","test_upload_from_url_invalid_url[]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"Публикация файла - 200 + Link на публичный ресурс.","1314","test_publish_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"Raw-метод: POST возвращает 202 и Link с href для polling.","2789","test_upload_from_url_returns_202_with_link","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"","155","test_get_info_about_disk[headers1-401]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_info","",""
"POST без токена - 401.","161","test_upload_from_url_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_info","",""
"Удаление несуществующего файла - 404.","383","test_delete_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"Снятие с публикации - 200.","463","test_unpublish_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_info","",""
"Удаление несуществующего файла - 404.","444","test_delete_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_info","",""
